layer,position,token,pearson,r2,accuracy,mse
0,0,Ġand,0.9956488281454879,0.6134452408728689,0.0,28.69279139559149
0,1,Ġ,0.992229301194317,0.7972854571181718,0.0022222222222222222,15.046887806775272
0,2,?Ċ,0.9957631467669269,0.8953657038119824,0.0022222222222222222,7.76668754545054
0,3,Answer,0.991568882615154,0.67351331077523,0.0,24.234120124447156
0,4,:,0.9495743746674224,-19.686819510462453,0.0,1535.5200856723611
0,5,Ġ,0.9520094727196858,-0.28359257641962854,0.0,95.27719724704136
1,0,Ġand,0.9992997489514037,0.8846615768221483,0.005555555555555556,8.561222538331641
1,1,Ġ,0.9946323036176484,0.030806918296876984,0.0,71.94027303700153
1,2,?Ċ,0.9983704982708753,0.5703685201266763,0.0,31.89024617578256
1,3,Answer,0.9242116406361749,-1.451050187977195,0.0,181.93404707410548
1,4,:,0.9466657039495927,-1.5872227573611055,0.0,192.04172531342383
1,5,Ġ,0.9960995309635853,0.15206304389964764,0.0,62.93979733411748
2,0,Ġand,0.9994005007758742,0.9247497862462276,0.0044444444444444444,5.585595920707725
2,1,Ġ,0.9982984153523441,0.7542337592028407,0.0077777777777777776,18.242485217863813
2,2,?Ċ,0.9906690617603954,0.8926296752011069,0.0011111111111111111,7.969774679499774
2,3,Answer,0.9346416393533371,-0.9454332480574799,0.0,144.40362986762005
2,4,:,0.9967492172342111,0.19612167538131353,0.0,59.669458287889576
2,5,Ġ,0.9981787549977827,0.4816444318907964,0.0,38.47596707407036
3,0,Ġand,0.998458599603521,0.9815962857497101,0.008888888888888889,1.3660520829701464
3,1,Ġ,0.997469454332838,0.9131079763247671,0.0033333333333333335,6.449732283426085
3,2,?Ċ,0.9847970804378807,0.782512519679934,0.0022222222222222222,16.14343830112859
3,3,Answer,0.9992103390040005,0.4429864610344266,0.0,41.3454314057561
3,4,:,0.9960854056965746,-0.6767032141886751,0.0,124.45661169886439
3,5,Ġ,0.991009913613531,0.8354476947973348,0.0033333333333333335,12.214220250463837
4,0,Ġand,0.9981557698597902,0.9782340316839546,0.006666666666666667,1.6156220397481835
4,1,Ġ,0.9983909063295683,0.9431224312042806,0.0033333333333333335,4.221850017392363
4,2,?Ċ,0.9867108299739001,0.8475263597100139,0.0011111111111111111,11.31765746215583
4,3,Answer,0.9990264103203106,0.5643015837360563,0.0011111111111111111,32.340576526544396
4,4,:,0.9993166661215079,-0.28213037570040256,0.0,95.16866250720275
4,5,Ġ,0.9932131165933354,0.8655447444660613,0.0022222222222222222,9.980207222872288
5,0,Ġand,0.9983685603850304,0.9811511107612795,0.0077777777777777776,1.399096076805377
5,1,Ġ,0.9980685856550713,0.9626561726744857,0.0022222222222222222,2.771919429432182
5,2,?Ċ,0.9936037336175454,0.9068579206418299,0.0,6.913655025772589
5,3,Answer,0.9993860177420447,0.6658877641801904,0.0,24.800141399732716
5,4,:,0.9947217514051407,-0.5108425959916751,0.0,112.14527932924995
5,5,Ġ,0.9909308666022473,0.8856496300188318,0.0033333333333333335,8.487882335964958
6,0,Ġand,0.9977955505228112,0.9731374885039229,0.0044444444444444444,1.9939230355333126
6,1,Ġ,0.9967024393916853,0.9536509355626412,0.006666666666666667,3.4403509616203904
6,2,?Ċ,0.9958087925555411,0.8663872895153453,0.0022222222222222222,9.917667650483937
6,3,Answer,0.9984761079058202,0.6753701354724897,0.0,24.096293639483015
6,4,:,0.9943756067010939,0.1960673336156581,0.0033333333333333335,59.67349191290441
6,5,Ġ,0.9922242154998984,0.8560428239956018,0.0011111111111111111,10.685506059528777
7,0,Ġand,0.9987945873879288,0.9853812414295465,0.008888888888888889,1.085106263008354
7,1,Ġ,0.9993443099992111,0.9607588816340606,0.01,2.9127496087386446
7,2,?Ċ,0.9952791896311709,0.9192993541172397,0.0044444444444444444,5.990165023532934
7,3,Answer,0.998896097737631,0.5855353779717725,0.0,30.764456160265475
7,4,:,0.9864700722426358,0.2473539385974668,0.0044444444444444444,55.86664224054745
7,5,Ġ,0.9907539686216461,0.8332052742704451,0.0033333333333333335,12.380668348385402
8,0,Ġand,0.9986009603906885,0.9734522813882123,0.005555555555555556,1.9705569112043124
8,1,Ġ,0.9991855844554084,0.9580855553944583,0.008888888888888889,3.111182535288245
8,2,?Ċ,0.9968937290914522,0.9218563667275401,0.0022222222222222222,5.80036570612467
8,3,Answer,0.9985494953132997,0.3275605949645619,0.0,49.91314456566286
8,4,:,0.9879234608613451,-0.07451811966925481,0.0033333333333333335,79.75823225685185
8,5,Ġ,0.9954369878070746,0.8719210902418958,0.0022222222222222222,9.506910348645969
9,0,Ġand,0.9976195938627056,0.9561698830581573,0.006666666666666667,3.253377102629509
9,1,Ġ,0.9983691045441889,0.934060172756836,0.0022222222222222222,4.894514070973327
9,2,?Ċ,0.9965154360941566,0.9370110364532318,0.005555555555555556,4.675480377871997
9,3,Answer,0.9917415749368395,0.5957284050498833,0.0011111111111111111,30.007858569015376
9,4,:,0.9854727675452422,0.2490857320621066,0.0,55.73809644606969
9,5,Ġ,0.9945783863965634,0.9018743061582117,0.0011111111111111111,7.2835736657536225
10,0,Ġand,0.996744220745837,0.9572786841127391,0.0033333333333333335,3.1710741517353886
10,1,Ġ,0.998877602710514,0.9408186936137133,0.005555555555555556,4.39284949561789
10,2,?Ċ,0.9986094026773817,0.8433171611435852,0.0033333333333333335,11.63009354930135
10,3,Answer,0.9862745609626978,0.5871659645657087,0.0022222222222222222,30.643422645898962
10,4,:,0.981215147717058,0.4532516319034916,0.0,40.58347879896044
10,5,Ġ,0.9946374405058294,0.9376695369663979,0.0011111111111111111,4.626601875119033
