layer,position,token,pearson,r2,accuracy,mse
0,0,Ġand,0.9964741455518292,0.7424034006094571,0.0,19.29261935397503
0,1,Ġ,0.9927259420024934,0.8444080410677598,0.0,11.653012676879415
0,2,?Ċ,0.9944529767033377,0.8136670782802783,0.0,13.95534778160039
0,3,Answer,0.9969267181303895,0.8834390259771981,0.0011111111111111111,8.729798874173513
0,4,:,0.9495549454548114,-19.69724742379777,0.0,1550.1140821233614
0,5,Ġ,0.9500764686037203,-0.3054088112871931,0.0,97.76819786081944
1,0,Ġand,0.9985372236404738,0.8118098915521513,0.0022222222222222222,14.094441219556403
1,1,Ġ,0.9957965986131084,0.19833795488530148,0.0,60.040236259015
1,2,?Ċ,0.9992559435290971,0.5962004886839631,0.0,30.242442196725047
1,3,Answer,0.9789593878154624,-0.837331319200288,0.0,137.6063731133607
1,4,:,0.8045140209114414,-2.5955296781241435,0.0,269.2861071151086
1,5,Ġ,0.9936175062536177,0.011334774307571238,0.0,74.0457828749431
2,0,Ġand,0.9987151516268405,0.8921858072271586,0.0033333333333333335,8.07471133952741
2,1,Ġ,0.996910806234537,0.750914059246406,0.0033333333333333335,18.65521615097179
2,2,?Ċ,0.9975379265766771,0.7276235310835506,0.0011111111111111111,20.399553209233044
2,3,Answer,0.9882496916041247,-0.31512658297047724,0.0,98.49600743011501
2,4,:,0.9975119529128174,0.026234113415631977,0.0,72.92990138148515
2,5,Ġ,0.9986034038186675,0.505256089352405,0.0,37.05369546183343
3,0,Ġand,0.9981237184219217,0.9128672798387482,0.0022222222222222222,6.525778707190392
3,1,Ġ,0.9965733762092345,0.8657356714154048,0.0033333333333333335,10.055686256449562
3,2,?Ċ,0.9928654558916362,0.801998623684614,0.0011111111111111111,14.82925315727654
3,3,Answer,0.9992671841476131,0.2236325333386806,0.0011111111111111111,58.145806460737866
3,4,:,0.9972304521175762,-0.06218042873086205,0.0011111111111111111,79.55168175833788
3,5,Ġ,0.9961305743195565,0.8782478152308834,0.0033333333333333335,9.118593031984096
4,0,Ġand,0.9980204751124385,0.9499266261945816,0.0077777777777777776,3.750230177272702
4,1,Ġ,0.9979899114231506,0.9147433185901045,0.0022222222222222222,6.385273352659869
4,2,?Ċ,0.995604082530896,0.8035049898166778,0.0022222222222222222,14.716434321692587
4,3,Answer,0.9927534567055692,-0.02817348029592548,0.0,77.00474164694768
4,4,:,0.9982395837669938,-0.8089824635952172,0.0,135.48319415213444
4,5,Ġ,0.9946621695265991,0.7089699079832539,0.0011111111111111111,21.796610666117132
5,0,Ġand,0.9980618292948293,0.9735648311836642,0.006666666666666667,1.9798539683298375
5,1,Ġ,0.9970495481215857,0.9600291069432924,0.0022222222222222222,2.99360793894787
5,2,?Ċ,0.9989502187489973,0.8618088345126786,0.0022222222222222222,10.349785517886543
5,3,Answer,0.9863464631947392,-0.35790571711089547,0.0,101.69993773515937
5,4,:,0.9954029621243117,-0.7162238834275794,0.0,128.53606836233988
5,5,Ġ,0.9942532499963467,0.841073913692673,0.0,11.902721137617654
6,0,Ġand,0.9983333647881643,0.9799004006639562,0.006666666666666667,1.5053534094594005
6,1,Ġ,0.9964742703772128,0.9586871779393533,0.0044444444444444444,3.094111305585116
6,2,?Ċ,0.9974215431730983,0.8778421486591014,0.0033333333333333335,9.148975307109385
6,3,Answer,0.9980505999048004,-0.04630179592518724,0.0,78.36245635976428
6,4,:,0.996944080449514,0.3570999674700661,0.0,48.14980337319444
6,5,Ġ,0.9947808894811023,0.6968288216305305,0.0,22.705913654203986
7,0,Ġand,0.9977316881114223,0.9463184582665608,0.006666666666666667,4.020462822289063
7,1,Ġ,0.9968393260298973,0.9628224693865646,0.0044444444444444444,2.7843999041242657
7,2,?Ċ,0.997078422498494,0.922940360505859,0.0022222222222222222,5.771358379079526
7,3,Answer,0.9979441104129941,-0.026965607732793773,0.0,76.91427839687472
7,4,:,0.9953657067047426,0.4330237981560271,0.0011111111111111111,42.46351105106967
7,5,Ġ,0.997252843978537,0.6822939433924846,0.005555555555555556,23.794498961100278
8,0,Ġand,0.9980375101711374,0.9265891370825887,0.006666666666666667,5.498084361607661
8,1,Ġ,0.9947226757545106,0.9120549301518505,0.0044444444444444444,6.586619391146301
8,2,?Ċ,0.9977023061778628,0.9221777567069754,0.0022222222222222222,5.828473359807402
8,3,Answer,0.9989055665030205,0.020807360332516844,0.0,73.33633641132737
8,4,:,0.9919284409259925,0.04590281097494464,0.0022222222222222222,71.45682023018868
8,5,Ġ,0.9954444833368875,0.8905671120141256,0.006666666666666667,8.195943027635993
9,0,Ġand,0.9982603439162231,0.9353474423756352,0.0033333333333333335,4.8421337372421815
9,1,Ġ,0.9947063348165108,0.9386061043638293,0.006666666666666667,4.598077233816908
9,2,?Ċ,0.9964850959240812,0.9062169411889777,0.0044444444444444444,7.023853807749193
9,3,Answer,0.9969868385177983,0.45195479137523353,0.0022222222222222222,41.04568004307135
9,4,:,0.9940145574901278,0.5786201432482776,0.0011111111111111111,31.559116847727935
9,5,Ġ,0.9972741120351,0.8497538579058351,0.006666666666666667,11.252639342615423
10,0,Ġand,0.997538097677797,0.9632937207595474,0.005555555555555556,2.749105675161197
10,1,Ġ,0.9958745292892031,0.9526490231958854,0.011111111111111112,3.5463370777487917
10,2,?Ċ,0.9987813296443944,0.8311066170539058,0.0022222222222222222,12.649218802939515
10,3,Answer,0.9867482182029965,0.6381602564191655,0.0011111111111111111,27.099878090631567
10,4,:,0.987628827500229,0.722773171955539,0.0033333333333333335,20.762819388243955
10,5,Ġ,0.9945754391092854,0.931645049957102,0.0022222222222222222,5.1194232969599724
11,0,Ġand,0.994688419319794,0.931839447378832,0.0044444444444444444,5.104863960890694
11,1,Ġ,0.9967308453342429,0.9550177046601542,0.0022222222222222222,3.368935396324919
11,2,?Ċ,0.9963717484552629,0.8094689577145937,0.0011111111111111111,14.2697647508751
11,3,Answer,0.9882700342114746,0.6096351847250915,0.0044444444444444444,29.236254702514824
11,4,:,0.9914268993223396,0.7123493111049651,0.0033333333333333335,21.54351129203742
11,5,Ġ,0.9940508109161494,0.8996320711103847,0.0022222222222222222,7.517025659482642
12,0,Ġand,0.994216197431228,0.9313767092845194,0.0033333333333333335,5.139520590424146
12,1,Ġ,0.9956755736155029,0.9377756864570908,0.005555555555555556,4.6602711316297505
12,2,?Ċ,0.9911340919752715,0.8839424042993964,0.005555555555555556,8.692098507071663
12,3,Answer,0.9951704069076506,0.4856006117038346,0.0022222222222222222,38.52578651191565
12,4,:,0.9960624446644045,0.8350041711987454,0.006666666666666667,12.3573126647925
12,5,Ġ,0.9967103094966359,0.9241749601403813,0.0011111111111111111,5.678893413083284
13,0,Ġand,0.9896816364223034,0.8811753424277301,0.0033333333333333335,8.899336768544282
13,1,Ġ,0.992998795202595,0.9180582745797772,0.0044444444444444444,6.137000727030316
13,2,?Ċ,0.9914843811672732,0.8776991312479364,0.0022222222222222222,9.159686552836712
13,3,Answer,0.9896777258037146,0.27032884032792304,0.0011111111111111111,54.64850068064886
13,4,:,0.9920219045526742,0.7911156969080948,0.0022222222222222222,15.644326664664918
13,5,Ġ,0.9981126194460724,0.9458843651443921,0.005555555555555556,4.052974095302733
14,0,Ġand,0.994076462025686,0.862346679932562,0.0022222222222222222,10.309503747934462
14,1,Ġ,0.9908317811487781,0.8716405297742988,0.0033333333333333335,9.613443676668576
14,2,?Ċ,0.9906748579712368,0.8786462913066969,0.006666666666666667,9.088749286878283
14,3,Answer,0.9977042848562813,0.27156360642604394,0.0,54.55602324741178
14,4,:,0.9952329648854948,0.8489989119843684,0.0044444444444444444,11.309180788931696
14,5,Ġ,0.9967790989168818,0.9413750104923193,0.0033333333333333335,4.390700847287606
15,0,Ġand,0.9890701718746471,0.8749646627943137,0.0033333333333333335,9.36448374012882
15,1,Ġ,0.9914448187796313,0.89924690870096,0.0033333333333333335,7.545872281573429
15,2,?Ċ,0.9907454179369916,0.883170342645751,0.005555555555555556,8.74992183096965
15,3,Answer,0.9978636102220676,-0.06988098296337353,0.0,80.12841243713558
15,4,:,0.9922301959017221,0.8221417121728644,0.005555555555555556,13.320642640923907
15,5,Ġ,0.9980849988517241,0.9229702379503775,0.0022222222222222222,5.769120716914242
16,0,Ġand,0.9921069805644612,0.9077352479957613,0.0033333333333333335,6.910140678945745
16,1,Ġ,0.9911879618607093,0.8876350051927472,0.0022222222222222222,8.415542280669163
16,2,?Ċ,0.9878890193985698,0.8531360243662074,0.0033333333333333335,10.999333009122974
16,3,Answer,0.9982256671081917,0.41543971128889123,0.0011111111111111111,43.780465915448744
16,4,:,0.9915620132139402,0.8870364779024383,0.005555555555555556,8.460368800942387
16,5,Ġ,0.9978494948275703,0.945696524704429,0.0,4.067042348206947
17,0,Ġand,0.9948060701410509,0.9011992902359719,0.0077777777777777776,7.399649257364916
17,1,Ġ,0.9909348116212588,0.8687632842145953,0.006666666666666667,9.82893411211147
17,2,?Ċ,0.9844367609084125,0.8223344942480908,0.0033333333333333335,13.306204285742153
17,3,Answer,0.9981394467115581,0.5247710687928029,0.0044444444444444444,35.592126982532825
17,4,:,0.991921769915364,0.8510925944190844,0.005555555555555556,11.152375076602242
17,5,Ġ,0.9984710143705121,0.9321975468014629,0.01,5.07804421300565
18,0,Ġand,0.9913685229890375,0.8922553612461477,0.0044444444444444444,8.069502112324598
18,1,Ġ,0.9926706446645885,0.9046547213279172,0.0044444444444444444,7.140855791463133
18,2,?Ċ,0.9832200604385307,0.8021985593579122,0.0044444444444444444,14.814279035532127
18,3,Answer,0.9980800476743682,0.5541153859586474,0.0011111111111111111,33.39439322897249
18,4,:,0.9887254909096573,0.8585145111308246,0.008888888888888889,10.59651287059764
18,5,Ġ,0.9983808869227718,0.9527994189205654,0.008888888888888889,3.5350732354636802
19,0,Ġand,0.9866458365006544,0.7280337716127807,0.0011111111111111111,20.368828368948922
19,1,Ġ,0.9940801996914671,0.9255672520649478,0.0022222222222222222,5.574618130747153
19,2,?Ċ,0.9937522044574889,0.8005051862682271,0.0022222222222222222,14.941103700612532
19,3,Answer,0.998051105165807,0.40764609399580465,0.0,44.3641665240042
19,4,:,0.9924831194797391,0.8816893431619345,0.0044444444444444444,8.860840839109926
19,5,Ġ,0.9988852504809453,0.9360544760353008,0.005555555555555556,4.789180665273649
20,0,Ġand,0.9847502403578094,0.5864607474248074,0.0,30.971897170756808
20,1,Ġ,0.9954407373673195,0.9442994188094415,0.006666666666666667,4.17167817140089
20,2,?Ċ,0.9884172614059614,0.5141838783886115,0.0033333333333333335,36.38505140381546
20,3,Answer,0.9955346104581327,0.4191359753186005,0.0044444444444444444,43.50363533955726
20,4,:,0.9933122579231409,0.8580906400302961,0.008888888888888889,10.628258568394092
20,5,Ġ,0.9985982583389674,0.916363492094509,0.0033333333333333335,6.263930948366396
21,0,Ġand,0.9801495998302354,0.5022403209053804,0.0,37.279560527000555
21,1,Ġ,0.9960272688574483,0.951817891386421,0.0077777777777777776,3.6085844430902347
21,2,?Ċ,0.9841263277191726,0.6570919073427692,0.0033333333333333335,25.681997824061447
21,3,Answer,0.9949703240693574,0.5855463315979039,0.0033333333333333335,31.040382067379806
21,4,:,0.9929312383779747,0.8472126611685118,0.005555555555555556,11.442961503205803
21,5,Ġ,0.9981928997993794,0.9387715127995496,0.008888888888888889,4.585689019081782
22,0,Ġand,0.9863675829137892,0.5932039334972685,0.0,30.466868290574332
22,1,Ġ,0.9949629179085087,0.93279241375287,0.0044444444444444444,5.033491832706732
22,2,?Ċ,0.9897876426461518,0.8428165123570551,0.0011111111111111111,11.77220973801762
22,3,Answer,0.9921218962564289,0.717453824651633,0.0044444444444444444,21.16121029475691
22,4,:,0.9938382435086128,0.8804834993700944,0.0033333333333333335,8.95115214497097
22,5,Ġ,0.9972296832962493,0.9388803924608173,0.006666666666666667,4.577534509801777
23,0,Ġand,0.992316583148975,0.8893687957732047,0.0022222222222222222,8.285690559849035
23,1,Ġ,0.9941951566994032,0.9333233373849499,0.0033333333333333335,4.993728467957433
23,2,?Ċ,0.984458238186457,0.6908306283217236,0.0022222222222222222,23.155146526812402
23,3,Answer,0.9926603843082937,0.3106984404488029,0.0011111111111111111,51.62503169679195
23,4,:,0.9934146372655154,0.8562504521723888,0.0044444444444444444,10.766078881109431
23,5,Ġ,0.9964769022588021,0.9396331483610495,0.0044444444444444444,4.521157084463101
24,0,Ġand,0.9934296521420487,0.9115033691376424,0.0044444444444444444,6.627928386384534
24,1,Ġ,0.9928154106066831,0.8431165570573947,0.0011111111111111111,11.74973798098929
24,2,?Ċ,0.9757760985872562,0.6416831800340805,0.0011111111111111111,26.83602979264747
24,3,Answer,0.9895639261343218,-0.12357543197868104,0.0011111111111111111,84.14984194639399
24,4,:,0.9962407959318872,0.8589310439403715,0.005555555555555556,10.565316771883436
24,5,Ġ,0.9970900097742528,0.9419719876728841,0.005555555555555556,4.3459904220145456
25,0,Ġand,0.9882837022103448,0.6427274180803955,0.0011111111111111111,26.75782190019021
25,1,Ġ,0.9887890917679624,0.8571086310452034,0.0022222222222222222,10.701805834143718
25,2,?Ċ,0.9833663206052945,0.589080161886684,0.0,30.775716917357318
25,3,Answer,0.9737960516325184,0.42094025822632786,0.0044444444444444444,43.368504117219615
25,4,:,0.9948440511991623,0.9195902487040332,0.006666666666666667,6.022263988620964
25,5,Ġ,0.9973993954310585,0.9194111089202825,0.0077777777777777776,6.035680608511256
26,0,Ġand,0.986597959444784,0.21948275829687325,0.0,58.45660260663277
26,1,Ġ,0.9901842721333645,0.8021197371570208,0.0011111111111111111,14.820182400413643
26,2,?Ċ,0.9709411298739418,0.27893415666725474,0.0011111111111111111,54.00400811767226
26,3,Answer,0.978616183373511,0.5254790969130494,0.0033333333333333335,35.539099430740045
26,4,:,0.9898428608831621,0.8797643304407319,0.0022222222222222222,9.005014084290915
26,5,Ġ,0.9964730133784278,0.92631203376376,0.01,5.518837930810563
27,0,Ġand,0.9825461815247151,0.11080580629856163,0.0,66.59593003725186
27,1,Ġ,0.991346880374984,0.7240514786438246,0.0022222222222222222,20.667080995683335
27,2,?Ċ,0.9653574839535902,-0.1080726723109573,0.0011111111111111111,82.9887674527354
27,3,Answer,0.9686641689156668,0.5103963230309655,0.0011111111111111111,36.66871921608494
27,4,:,0.9876032948392757,0.8024366295754337,0.0011111111111111111,14.796448838638886
27,5,Ġ,0.9951365946388842,0.9431749594772335,0.0033333333333333335,4.255894212787452
28,0,Ġand,0.9743428460103255,-0.8616387281205007,0.0,139.42686914820197
28,1,Ġ,0.9911658933154369,0.7249849981222005,0.0033333333333333335,20.597165336864705
28,2,?Ċ,0.9576135055455813,0.16815846466027518,0.0011111111111111111,62.30052004609134
28,3,Answer,0.9514039227150921,0.1880736035886903,0.005555555555555556,60.80898174303737
28,4,:,0.9775378363121539,0.5409372323537396,0.0022222222222222222,34.38136705506033
28,5,Ġ,0.9945887648994208,0.9373612156679136,0.006666666666666667,4.691312795952397
29,0,Ġand,0.9641574925744256,-4.121367096909845,0.0,383.56323882543137
29,1,Ġ,0.991135224081831,0.7860804838602803,0.0033333333333333335,16.02143742205646
29,2,?Ċ,0.949291685899839,0.39984436510328314,0.0,44.9484746483445
29,3,Answer,0.9772633361129223,0.19615061245286736,0.0,60.204056608528894
29,4,:,0.9757288397357498,0.5614900863254179,0.0,32.84206727683515
29,5,Ġ,0.9941836342389307,0.9311548161444421,0.0033333333333333335,5.1561392099979235
30,0,Ġand,0.9677892067421591,-2.6842242634523275,0.0,275.92886124130354
30,1,Ġ,0.9836856955216959,0.5539813620472229,0.0011111111111111111,33.40443090925849
30,2,?Ċ,0.9400263975942601,-0.24781728771052447,0.0011111111111111111,93.4548981316735
30,3,Answer,0.9740615164339818,0.5677983772470099,0.0022222222222222222,32.36960973736315
30,4,:,0.9864408524170457,0.7041687320561345,0.0033333333333333335,22.1561932841817
30,5,Ġ,0.9901180394803044,0.883959969038692,0.0077777777777777776,8.690783001237794
31,0,Ġand,0.9412581904453112,-4.932562284707375,0.0,444.317456920628
31,1,Ġ,0.9529041358420675,0.35370011129188916,0.0,48.404434572748364
31,2,?Ċ,0.8990875621639458,-0.13836284101726726,0.0011111111111111111,85.25734047117245
31,3,Answer,0.9568907050905264,-5.179587216438079,0.0,462.818314424561
31,4,:,0.9824123016875191,0.5461673043834275,0.0022222222222222222,33.98966239319225
31,5,Ġ,0.9646624514261118,0.5818197639541063,0.0011111111111111111,31.31948222327754
