Step 1: {'loss': 15.2473, 'learning_rate': 3.5087719298245616e-07, 'epoch': 0.0}
Step 2: {'loss': 14.5581, 'learning_rate': 7.017543859649123e-07, 'epoch': 0.01}
Step 3: {'loss': 14.7362, 'learning_rate': 1.0526315789473685e-06, 'epoch': 0.01}
Step 4: {'loss': 14.8616, 'learning_rate': 1.4035087719298246e-06, 'epoch': 0.01}
Step 5: {'loss': 14.5458, 'learning_rate': 1.7543859649122807e-06, 'epoch': 0.02}
Step 6: {'loss': 15.7755, 'learning_rate': 2.105263157894737e-06, 'epoch': 0.02}
Step 7: {'loss': 15.2655, 'learning_rate': 2.456140350877193e-06, 'epoch': 0.02}
Step 8: {'loss': 14.7359, 'learning_rate': 2.8070175438596493e-06, 'epoch': 0.03}
Step 9: {'loss': 14.0969, 'learning_rate': 3.157894736842105e-06, 'epoch': 0.03}
Step 10: {'loss': 14.4983, 'learning_rate': 3.5087719298245615e-06, 'epoch': 0.04}
Step 11: {'loss': 14.9153, 'learning_rate': 3.859649122807018e-06, 'epoch': 0.04}
Step 12: {'loss': 14.4595, 'learning_rate': 4.210526315789474e-06, 'epoch': 0.04}
Step 13: {'loss': 14.4963, 'learning_rate': 4.56140350877193e-06, 'epoch': 0.05}
Step 14: {'loss': 15.0064, 'learning_rate': 4.912280701754386e-06, 'epoch': 0.05}
Step 15: {'loss': 14.4514, 'learning_rate': 5.263157894736842e-06, 'epoch': 0.05}
Step 16: {'loss': 14.7364, 'learning_rate': 5.6140350877192985e-06, 'epoch': 0.06}
Step 17: {'loss': 13.9251, 'learning_rate': 5.964912280701755e-06, 'epoch': 0.06}
Step 18: {'loss': 14.3466, 'learning_rate': 6.31578947368421e-06, 'epoch': 0.06}
Step 19: {'loss': 15.5443, 'learning_rate': 6.666666666666667e-06, 'epoch': 0.07}
Step 20: {'loss': 15.7424, 'learning_rate': 7.017543859649123e-06, 'epoch': 0.07}
Step 21: {'loss': 14.7654, 'learning_rate': 7.368421052631579e-06, 'epoch': 0.07}
Step 22: {'loss': 14.0845, 'learning_rate': 7.719298245614036e-06, 'epoch': 0.08}
Step 23: {'loss': 14.6309, 'learning_rate': 8.070175438596492e-06, 'epoch': 0.08}
Step 24: {'loss': 14.1496, 'learning_rate': 8.421052631578948e-06, 'epoch': 0.09}
Step 25: {'loss': 14.0061, 'learning_rate': 8.771929824561405e-06, 'epoch': 0.09}
Step 26: {'loss': 13.347, 'learning_rate': 9.12280701754386e-06, 'epoch': 0.09}
Step 27: {'loss': 14.5956, 'learning_rate': 9.473684210526315e-06, 'epoch': 0.1}
Step 28: {'loss': 13.5951, 'learning_rate': 9.824561403508772e-06, 'epoch': 0.1}
Step 29: {'loss': 14.0197, 'learning_rate': 1.017543859649123e-05, 'epoch': 0.1}
Step 30: {'loss': 12.6742, 'learning_rate': 1.0526315789473684e-05, 'epoch': 0.11}
Step 31: {'loss': 13.5474, 'learning_rate': 1.0877192982456142e-05, 'epoch': 0.11}
Step 32: {'loss': 14.1617, 'learning_rate': 1.1228070175438597e-05, 'epoch': 0.11}
Step 33: {'loss': 14.1049, 'learning_rate': 1.1578947368421053e-05, 'epoch': 0.12}
Step 34: {'loss': 13.4186, 'learning_rate': 1.192982456140351e-05, 'epoch': 0.12}
Step 35: {'loss': 12.6573, 'learning_rate': 1.2280701754385966e-05, 'epoch': 0.12}
Step 36: {'loss': 14.1824, 'learning_rate': 1.263157894736842e-05, 'epoch': 0.13}
Step 37: {'loss': 12.4738, 'learning_rate': 1.2982456140350879e-05, 'epoch': 0.13}
Step 38: {'loss': 13.5847, 'learning_rate': 1.3333333333333333e-05, 'epoch': 0.14}
Step 39: {'loss': 12.4618, 'learning_rate': 1.3684210526315791e-05, 'epoch': 0.14}
Step 40: {'loss': 12.8763, 'learning_rate': 1.4035087719298246e-05, 'epoch': 0.14}
Step 41: {'loss': 13.0997, 'learning_rate': 1.4385964912280704e-05, 'epoch': 0.15}
Step 42: {'loss': 12.5827, 'learning_rate': 1.4736842105263159e-05, 'epoch': 0.15}
Step 43: {'loss': 12.1933, 'learning_rate': 1.5087719298245615e-05, 'epoch': 0.15}
Step 44: {'loss': 12.6007, 'learning_rate': 1.543859649122807e-05, 'epoch': 0.16}
Step 45: {'loss': 12.2528, 'learning_rate': 1.578947368421053e-05, 'epoch': 0.16}
Step 46: {'loss': 11.8789, 'learning_rate': 1.6140350877192984e-05, 'epoch': 0.16}
Step 47: {'loss': 11.6213, 'learning_rate': 1.649122807017544e-05, 'epoch': 0.17}
Step 48: {'loss': 12.9288, 'learning_rate': 1.6842105263157896e-05, 'epoch': 0.17}
Step 49: {'loss': 11.802, 'learning_rate': 1.719298245614035e-05, 'epoch': 0.17}
Step 50: {'loss': 11.9676, 'learning_rate': 1.754385964912281e-05, 'epoch': 0.18}
Step 51: {'loss': 12.4871, 'learning_rate': 1.7894736842105264e-05, 'epoch': 0.18}
Step 52: {'loss': 11.541, 'learning_rate': 1.824561403508772e-05, 'epoch': 0.18}
Step 53: {'loss': 11.6032, 'learning_rate': 1.8596491228070176e-05, 'epoch': 0.19}
Step 54: {'loss': 11.528, 'learning_rate': 1.894736842105263e-05, 'epoch': 0.19}
Step 55: {'loss': 11.229, 'learning_rate': 1.929824561403509e-05, 'epoch': 0.2}
Step 56: {'loss': 11.8138, 'learning_rate': 1.9649122807017544e-05, 'epoch': 0.2}
Step 57: {'loss': 11.9331, 'learning_rate': 2e-05, 'epoch': 0.2}
Step 58: {'loss': 11.5496, 'learning_rate': 1.9999806497939984e-05, 'epoch': 0.21}
Step 59: {'loss': 11.3301, 'learning_rate': 1.999922599924854e-05, 'epoch': 0.21}
Step 60: {'loss': 11.596, 'learning_rate': 1.9998258526391207e-05, 'epoch': 0.21}
Step 61: {'loss': 11.8051, 'learning_rate': 1.9996904116809586e-05, 'epoch': 0.22}
Step 62: {'loss': 11.7175, 'learning_rate': 1.999516282291988e-05, 'epoch': 0.22}
Step 63: {'loss': 10.4267, 'learning_rate': 1.9993034712110888e-05, 'epoch': 0.22}
Step 64: {'loss': 10.5477, 'learning_rate': 1.999051986674137e-05, 'epoch': 0.23}
Step 65: {'loss': 11.1899, 'learning_rate': 1.998761838413688e-05, 'epoch': 0.23}
Step 66: {'loss': 10.8887, 'learning_rate': 1.998433037658599e-05, 'epoch': 0.23}
Step 67: {'loss': 10.3834, 'learning_rate': 1.9980655971335944e-05, 'epoch': 0.24}
Step 68: {'loss': 10.873, 'learning_rate': 1.997659531058774e-05, 'epoch': 0.24}
Step 69: {'loss': 10.5944, 'learning_rate': 1.997214855149063e-05, 'epoch': 0.25}
Step 70: {'loss': 10.5821, 'learning_rate': 1.996731586613601e-05, 'epoch': 0.25}
Step 71: {'loss': 10.2646, 'learning_rate': 1.9962097441550803e-05, 'epoch': 0.25}
