Step 10: {'loss': 1.3884, 'grad_norm': 1.137596607208252, 'learning_rate': 0.0009991666666666666, 'epoch': 0.002777777777777778}
Step 20: {'loss': 0.9672, 'grad_norm': 1.92319917678833, 'learning_rate': 0.0009982407407407407, 'epoch': 0.005555555555555556}
Step 30: {'loss': 0.8328, 'grad_norm': 1.392852544784546, 'learning_rate': 0.0009973148148148148, 'epoch': 0.008333333333333333}
Step 40: {'loss': 0.8043, 'grad_norm': 0.755594789981842, 'learning_rate': 0.0009963888888888889, 'epoch': 0.011111111111111112}
Step 50: {'loss': 0.6758, 'grad_norm': 0.6838133335113525, 'learning_rate': 0.000995462962962963, 'epoch': 0.013888888888888888}
Step 60: {'loss': 0.746, 'grad_norm': 0.8249536752700806, 'learning_rate': 0.000994537037037037, 'epoch': 0.016666666666666666}
Step 70: {'loss': 0.6765, 'grad_norm': 0.6590256094932556, 'learning_rate': 0.0009936111111111111, 'epoch': 0.019444444444444445}
Step 80: {'loss': 0.6648, 'grad_norm': 0.5352673530578613, 'learning_rate': 0.0009926851851851852, 'epoch': 0.022222222222222223}
Step 90: {'loss': 0.6509, 'grad_norm': 0.919703483581543, 'learning_rate': 0.0009917592592592593, 'epoch': 0.025}
Step 100: {'loss': 0.675, 'grad_norm': 0.8908982276916504, 'learning_rate': 0.0009908333333333334, 'epoch': 0.027777777777777776}
Step 110: {'loss': 0.6341, 'grad_norm': 0.768118679523468, 'learning_rate': 0.0009899074074074074, 'epoch': 0.030555555555555555}
Step 120: {'loss': 0.603, 'grad_norm': 0.5735469460487366, 'learning_rate': 0.0009889814814814815, 'epoch': 0.03333333333333333}
Step 130: {'loss': 0.6406, 'grad_norm': 0.8929343223571777, 'learning_rate': 0.0009880555555555556, 'epoch': 0.03611111111111111}
Step 140: {'loss': 0.5987, 'grad_norm': 0.7568646669387817, 'learning_rate': 0.0009871296296296297, 'epoch': 0.03888888888888889}
Step 150: {'loss': 0.5915, 'grad_norm': 0.8262506723403931, 'learning_rate': 0.0009862037037037038, 'epoch': 0.041666666666666664}
Step 160: {'loss': 0.6694, 'grad_norm': 0.9186010956764221, 'learning_rate': 0.0009852777777777778, 'epoch': 0.044444444444444446}
Step 170: {'loss': 0.5986, 'grad_norm': 0.7930593490600586, 'learning_rate': 0.000984351851851852, 'epoch': 0.04722222222222222}
Step 180: {'loss': 0.6687, 'grad_norm': 0.8671921491622925, 'learning_rate': 0.000983425925925926, 'epoch': 0.05}
Step 190: {'loss': 0.5934, 'grad_norm': 0.7469523549079895, 'learning_rate': 0.0009825, 'epoch': 0.05277777777777778}
Step 200: {'loss': 0.5575, 'grad_norm': 0.8477131128311157, 'learning_rate': 0.0009815740740740742, 'epoch': 0.05555555555555555}
Step 210: {'loss': 0.5464, 'grad_norm': 0.6830127239227295, 'learning_rate': 0.0009806481481481482, 'epoch': 0.058333333333333334}
Step 220: {'loss': 0.5987, 'grad_norm': 0.8399839997291565, 'learning_rate': 0.0009797222222222223, 'epoch': 0.06111111111111111}
Step 230: {'loss': 0.5537, 'grad_norm': 0.6434714794158936, 'learning_rate': 0.0009787962962962964, 'epoch': 0.06388888888888888}
Step 10: {'loss': 1.5705, 'grad_norm': 1.238773226737976, 'learning_rate': 0.0009991666666666666, 'epoch': 0.002777777777777778}
Step 20: {'loss': 1.1781, 'grad_norm': 1.3269470930099487, 'learning_rate': 0.0009982407407407407, 'epoch': 0.005555555555555556}
Step 30: {'loss': 1.1812, 'grad_norm': 0.901052713394165, 'learning_rate': 0.0009973148148148148, 'epoch': 0.008333333333333333}
Step 40: {'loss': 1.1002, 'grad_norm': 1.2027873992919922, 'learning_rate': 0.0009963888888888889, 'epoch': 0.011111111111111112}
Step 50: {'loss': 1.2141, 'grad_norm': 1.5290861129760742, 'learning_rate': 0.000995462962962963, 'epoch': 0.013888888888888888}
Step 60: {'loss': 0.9718, 'grad_norm': 1.0795872211456299, 'learning_rate': 0.000994537037037037, 'epoch': 0.016666666666666666}
Step 70: {'loss': 0.9984, 'grad_norm': 1.2219723463058472, 'learning_rate': 0.0009936111111111111, 'epoch': 0.019444444444444445}
Step 80: {'loss': 0.8617, 'grad_norm': 0.4499532878398895, 'learning_rate': 0.0009926851851851852, 'epoch': 0.022222222222222223}
Step 90: {'loss': 1.0796, 'grad_norm': 0.6468902826309204, 'learning_rate': 0.0009917592592592593, 'epoch': 0.025}
Step 100: {'loss': 0.9418, 'grad_norm': 1.056768774986267, 'learning_rate': 0.0009908333333333334, 'epoch': 0.027777777777777776}
Step 110: {'loss': 0.9647, 'grad_norm': 1.084182620048523, 'learning_rate': 0.0009899074074074074, 'epoch': 0.030555555555555555}
Step 120: {'loss': 1.0291, 'grad_norm': 0.8010030388832092, 'learning_rate': 0.0009889814814814815, 'epoch': 0.03333333333333333}
Step 130: {'loss': 1.0021, 'grad_norm': 1.4194326400756836, 'learning_rate': 0.0009880555555555556, 'epoch': 0.03611111111111111}
Step 140: {'loss': 0.9913, 'grad_norm': 0.9305849671363831, 'learning_rate': 0.0009871296296296297, 'epoch': 0.03888888888888889}
Step 150: {'loss': 0.9908, 'grad_norm': 1.0166187286376953, 'learning_rate': 0.0009862037037037038, 'epoch': 0.041666666666666664}
Step 160: {'loss': 1.0063, 'grad_norm': 1.1120647192001343, 'learning_rate': 0.0009852777777777778, 'epoch': 0.044444444444444446}
Step 170: {'loss': 0.9709, 'grad_norm': 0.8671045899391174, 'learning_rate': 0.000984351851851852, 'epoch': 0.04722222222222222}
Step 180: {'loss': 0.9477, 'grad_norm': 1.147214651107788, 'learning_rate': 0.000983425925925926, 'epoch': 0.05}
Step 190: {'loss': 1.028, 'grad_norm': 1.3763597011566162, 'learning_rate': 0.0009825, 'epoch': 0.05277777777777778}
Step 200: {'loss': 0.9124, 'grad_norm': 1.3272852897644043, 'learning_rate': 0.0009815740740740742, 'epoch': 0.05555555555555555}
Step 210: {'loss': 1.0417, 'grad_norm': 1.2237554788589478, 'learning_rate': 0.0009806481481481482, 'epoch': 0.058333333333333334}
Step 220: {'loss': 0.9428, 'grad_norm': 1.0998016595840454, 'learning_rate': 0.0009797222222222223, 'epoch': 0.06111111111111111}
Step 230: {'loss': 0.9037, 'grad_norm': 1.2570655345916748, 'learning_rate': 0.0009787962962962964, 'epoch': 0.06388888888888888}
Step 240: {'loss': 0.9705, 'grad_norm': 1.2111964225769043, 'learning_rate': 0.0009778703703703705, 'epoch': 0.06666666666666667}
Step 250: {'loss': 0.9122, 'grad_norm': 0.9442682862281799, 'learning_rate': 0.0009769444444444443, 'epoch': 0.06944444444444445}
Step 260: {'loss': 0.9998, 'grad_norm': 0.9503730535507202, 'learning_rate': 0.0009760185185185185, 'epoch': 0.07222222222222222}
Step 270: {'loss': 0.9044, 'grad_norm': 1.230414628982544, 'learning_rate': 0.0009750925925925926, 'epoch': 0.075}
Step 280: {'loss': 0.9983, 'grad_norm': 1.275768756866455, 'learning_rate': 0.0009741666666666667, 'epoch': 0.07777777777777778}
Step 290: {'loss': 1.0203, 'grad_norm': 0.8914201259613037, 'learning_rate': 0.0009732407407407408, 'epoch': 0.08055555555555556}
Step 300: {'loss': 0.9027, 'grad_norm': 0.6895507574081421, 'learning_rate': 0.0009723148148148149, 'epoch': 0.08333333333333333}
Step 310: {'loss': 0.9627, 'grad_norm': 1.2431998252868652, 'learning_rate': 0.0009713888888888889, 'epoch': 0.08611111111111111}
Step 320: {'loss': 1.0249, 'grad_norm': 1.2896960973739624, 'learning_rate': 0.000970462962962963, 'epoch': 0.08888888888888889}
Step 330: {'loss': 0.8488, 'grad_norm': 1.0320008993148804, 'learning_rate': 0.0009695370370370371, 'epoch': 0.09166666666666666}
Step 340: {'loss': 0.8966, 'grad_norm': 0.7327704429626465, 'learning_rate': 0.0009686111111111111, 'epoch': 0.09444444444444444}
Step 350: {'loss': 0.9312, 'grad_norm': 0.8020442128181458, 'learning_rate': 0.0009676851851851852, 'epoch': 0.09722222222222222}
Step 360: {'loss': 0.9228, 'grad_norm': 1.234554648399353, 'learning_rate': 0.0009667592592592592, 'epoch': 0.1}
Step 370: {'loss': 0.9027, 'grad_norm': 1.2432907819747925, 'learning_rate': 0.0009658333333333333, 'epoch': 0.10277777777777777}
Step 380: {'loss': 0.9502, 'grad_norm': 0.9888966679573059, 'learning_rate': 0.0009649074074074075, 'epoch': 0.10555555555555556}
Step 390: {'loss': 0.9348, 'grad_norm': 0.6041784882545471, 'learning_rate': 0.0009639814814814815, 'epoch': 0.10833333333333334}
Step 400: {'loss': 1.1441, 'grad_norm': 1.068894386291504, 'learning_rate': 0.0009630555555555555, 'epoch': 0.1111111111111111}
Step 410: {'loss': 0.9336, 'grad_norm': 0.8284893035888672, 'learning_rate': 0.0009621296296296297, 'epoch': 0.11388888888888889}
Step 420: {'loss': 0.8836, 'grad_norm': 0.8066319823265076, 'learning_rate': 0.0009612037037037037, 'epoch': 0.11666666666666667}
Step 430: {'loss': 0.9651, 'grad_norm': 1.4122616052627563, 'learning_rate': 0.0009602777777777778, 'epoch': 0.11944444444444445}
Step 440: {'loss': 0.9501, 'grad_norm': 1.0117321014404297, 'learning_rate': 0.000959351851851852, 'epoch': 0.12222222222222222}
Step 450: {'loss': 0.9585, 'grad_norm': 0.9800297021865845, 'learning_rate': 0.0009584259259259259, 'epoch': 0.125}
Step 460: {'loss': 0.9754, 'grad_norm': 1.184921145439148, 'learning_rate': 0.0009575, 'epoch': 0.12777777777777777}
Step 470: {'loss': 0.9379, 'grad_norm': 0.7322402000427246, 'learning_rate': 0.000956574074074074, 'epoch': 0.13055555555555556}
Step 480: {'loss': 0.9759, 'grad_norm': 0.8829019665718079, 'learning_rate': 0.0009556481481481482, 'epoch': 0.13333333333333333}
Step 490: {'loss': 0.8771, 'grad_norm': 1.0051387548446655, 'learning_rate': 0.0009547222222222223, 'epoch': 0.1361111111111111}
Step 500: {'loss': 0.9083, 'grad_norm': 1.3912544250488281, 'learning_rate': 0.0009537962962962962, 'epoch': 0.1388888888888889}
Step 510: {'loss': 0.9643, 'grad_norm': 1.1616065502166748, 'learning_rate': 0.0009528703703703704, 'epoch': 0.14166666666666666}
Step 520: {'loss': 0.9272, 'grad_norm': 0.9596391916275024, 'learning_rate': 0.0009519444444444445, 'epoch': 0.14444444444444443}
Step 530: {'loss': 0.9224, 'grad_norm': 1.1443911790847778, 'learning_rate': 0.0009510185185185185, 'epoch': 0.14722222222222223}
Step 540: {'loss': 0.9819, 'grad_norm': 0.8085744976997375, 'learning_rate': 0.0009500925925925927, 'epoch': 0.15}
Step 550: {'loss': 0.9061, 'grad_norm': 1.2199629545211792, 'learning_rate': 0.0009491666666666667, 'epoch': 0.1527777777777778}
Step 560: {'loss': 0.9885, 'grad_norm': 1.0808335542678833, 'learning_rate': 0.0009482407407407407, 'epoch': 0.15555555555555556}
Step 570: {'loss': 0.9028, 'grad_norm': 0.781554102897644, 'learning_rate': 0.0009473148148148149, 'epoch': 0.15833333333333333}
Step 580: {'loss': 0.8283, 'grad_norm': 0.7914939522743225, 'learning_rate': 0.0009463888888888889, 'epoch': 0.16111111111111112}
Step 590: {'loss': 0.9376, 'grad_norm': 1.2648719549179077, 'learning_rate': 0.0009454629629629629, 'epoch': 0.1638888888888889}
Step 600: {'loss': 0.9232, 'grad_norm': 1.2876217365264893, 'learning_rate': 0.0009445370370370371, 'epoch': 0.16666666666666666}
Step 610: {'loss': 0.9044, 'grad_norm': 0.8054521679878235, 'learning_rate': 0.0009436111111111111, 'epoch': 0.16944444444444445}
Step 620: {'loss': 0.8515, 'grad_norm': 1.2079861164093018, 'learning_rate': 0.0009426851851851852, 'epoch': 0.17222222222222222}
