Step 10: {'loss': 1.4833, 'learning_rate': 0.0009981481481481482, 'epoch': 0.01}
Step 20: {'loss': 0.9472, 'learning_rate': 0.0009962962962962963, 'epoch': 0.01}
Step 30: {'loss': 0.8236, 'learning_rate': 0.0009944444444444445, 'epoch': 0.02}
Step 40: {'loss': 0.8341, 'learning_rate': 0.0009925925925925927, 'epoch': 0.02}
Step 50: {'loss': 0.7528, 'learning_rate': 0.0009907407407407408, 'epoch': 0.03}
Step 60: {'loss': 0.7963, 'learning_rate': 0.000988888888888889, 'epoch': 0.03}
Step 70: {'loss': 0.7177, 'learning_rate': 0.0009870370370370371, 'epoch': 0.04}
Step 10: {'loss': 1.5228, 'learning_rate': 0.0009981481481481482, 'epoch': 0.01}
Step 20: {'loss': 0.9687, 'learning_rate': 0.0009962962962962963, 'epoch': 0.01}
Step 30: {'loss': 0.9036, 'learning_rate': 0.0009944444444444445, 'epoch': 0.02}
Step 40: {'loss': 0.7911, 'learning_rate': 0.0009925925925925927, 'epoch': 0.02}
Step 10: {'loss': 1.3892, 'learning_rate': 0.0009962962962962963, 'epoch': 0.01}
Step 20: {'loss': 0.919, 'learning_rate': 0.0009925925925925927, 'epoch': 0.02}
Step 10: {'loss': 1.4128, 'learning_rate': 0.0009981481481481482, 'epoch': 0.01}
Step 20: {'loss': 1.0191, 'learning_rate': 0.0009962962962962963, 'epoch': 0.01}
Step 30: {'loss': 0.8483, 'learning_rate': 0.0009944444444444445, 'epoch': 0.02}
Step 40: {'loss': 0.8518, 'learning_rate': 0.0009925925925925927, 'epoch': 0.02}
Step 50: {'loss': 0.8229, 'learning_rate': 0.0009907407407407408, 'epoch': 0.03}
Step 60: {'loss': 0.7267, 'learning_rate': 0.000988888888888889, 'epoch': 0.03}
Step 70: {'loss': 0.7682, 'learning_rate': 0.0009870370370370371, 'epoch': 0.04}
Step 80: {'loss': 0.7256, 'learning_rate': 0.000985185185185185, 'epoch': 0.04}
Step 90: {'loss': 0.6948, 'learning_rate': 0.0009833333333333332, 'epoch': 0.05}
Step 100: {'loss': 0.713, 'learning_rate': 0.0009814814814814816, 'epoch': 0.06}
Step 110: {'loss': 0.6482, 'learning_rate': 0.0009796296296296296, 'epoch': 0.06}
Step 120: {'loss': 0.7596, 'learning_rate': 0.0009777777777777777, 'epoch': 0.07}
Step 130: {'loss': 0.6854, 'learning_rate': 0.000975925925925926, 'epoch': 0.07}
Step 140: {'loss': 0.7193, 'learning_rate': 0.0009740740740740741, 'epoch': 0.08}
Step 150: {'loss': 0.7133, 'learning_rate': 0.0009722222222222222, 'epoch': 0.08}
Step 160: {'loss': 0.6953, 'learning_rate': 0.0009703703703703704, 'epoch': 0.09}
Step 170: {'loss': 0.7327, 'learning_rate': 0.0009685185185185186, 'epoch': 0.09}
Step 180: {'loss': 0.6831, 'learning_rate': 0.0009666666666666667, 'epoch': 0.1}
Step 190: {'loss': 0.6995, 'learning_rate': 0.0009648148148148148, 'epoch': 0.11}
Step 200: {'loss': 0.6464, 'learning_rate': 0.0009629629629629629, 'epoch': 0.11}
Step 210: {'loss': 0.7297, 'learning_rate': 0.0009611111111111112, 'epoch': 0.12}
Step 220: {'loss': 0.7247, 'learning_rate': 0.0009592592592592593, 'epoch': 0.12}
Step 230: {'loss': 0.706, 'learning_rate': 0.0009574074074074074, 'epoch': 0.13}
Step 240: {'loss': 0.7051, 'learning_rate': 0.0009555555555555556, 'epoch': 0.13}
Step 250: {'loss': 0.7104, 'learning_rate': 0.0009537037037037038, 'epoch': 0.14}
Step 260: {'loss': 0.693, 'learning_rate': 0.0009518518518518518, 'epoch': 0.14}
Step 270: {'loss': 0.6893, 'learning_rate': 0.00095, 'epoch': 0.15}
Step 280: {'loss': 0.6942, 'learning_rate': 0.0009481481481481482, 'epoch': 0.16}
Step 290: {'loss': 0.6989, 'learning_rate': 0.0009462962962962963, 'epoch': 0.16}
Step 300: {'loss': 0.7277, 'learning_rate': 0.0009444444444444445, 'epoch': 0.17}
Step 310: {'loss': 0.6575, 'learning_rate': 0.0009425925925925925, 'epoch': 0.17}
Step 320: {'loss': 0.703, 'learning_rate': 0.0009407407407407408, 'epoch': 0.18}
Step 330: {'loss': 0.6376, 'learning_rate': 0.000938888888888889, 'epoch': 0.18}
Step 340: {'loss': 0.7029, 'learning_rate': 0.000937037037037037, 'epoch': 0.19}
Step 350: {'loss': 0.728, 'learning_rate': 0.0009351851851851853, 'epoch': 0.19}
Step 360: {'loss': 0.6624, 'learning_rate': 0.0009333333333333333, 'epoch': 0.2}
Step 370: {'loss': 0.7017, 'learning_rate': 0.0009314814814814815, 'epoch': 0.21}
