Step 10: {'loss': 1.356, 'grad_norm': 3.185053825378418, 'learning_rate': 0.0009983333333333333, 'epoch': 0.005555555555555556}
Step 20: {'loss': 0.85, 'grad_norm': 1.277943730354309, 'learning_rate': 0.0009964814814814814, 'epoch': 0.011111111111111112}
Step 30: {'loss': 0.8062, 'grad_norm': 1.1753236055374146, 'learning_rate': 0.0009946296296296296, 'epoch': 0.016666666666666666}
Step 40: {'loss': 0.7397, 'grad_norm': 2.28709077835083, 'learning_rate': 0.0009927777777777778, 'epoch': 0.022222222222222223}
Step 50: {'loss': 0.7196, 'grad_norm': 1.0831834077835083, 'learning_rate': 0.000990925925925926, 'epoch': 0.027777777777777776}
Step 60: {'loss': 0.713, 'grad_norm': 1.2539734840393066, 'learning_rate': 0.000989074074074074, 'epoch': 0.03333333333333333}
Step 70: {'loss': 0.7529, 'grad_norm': 1.0073262453079224, 'learning_rate': 0.0009872222222222222, 'epoch': 0.03888888888888889}
Step 80: {'loss': 0.6903, 'grad_norm': 0.8306481242179871, 'learning_rate': 0.0009853703703703704, 'epoch': 0.044444444444444446}
Step 90: {'loss': 0.6819, 'grad_norm': 2.0302045345306396, 'learning_rate': 0.0009835185185185186, 'epoch': 0.05}
Step 100: {'loss': 0.713, 'grad_norm': 1.1831353902816772, 'learning_rate': 0.0009816666666666667, 'epoch': 0.05555555555555555}
Step 110: {'loss': 0.6622, 'grad_norm': 1.415548324584961, 'learning_rate': 0.0009798148148148149, 'epoch': 0.06111111111111111}
Step 120: {'loss': 0.6828, 'grad_norm': 1.0919013023376465, 'learning_rate': 0.000977962962962963, 'epoch': 0.06666666666666667}
Step 130: {'loss': 0.682, 'grad_norm': 1.196897029876709, 'learning_rate': 0.0009761111111111112, 'epoch': 0.07222222222222222}
Step 140: {'loss': 0.694, 'grad_norm': 1.4931716918945312, 'learning_rate': 0.0009742592592592592, 'epoch': 0.07777777777777778}
Step 150: {'loss': 0.705, 'grad_norm': 1.0255733728408813, 'learning_rate': 0.0009724074074074074, 'epoch': 0.08333333333333333}
Step 160: {'loss': 0.7241, 'grad_norm': 1.1536589860916138, 'learning_rate': 0.0009705555555555556, 'epoch': 0.08888888888888889}
Step 170: {'loss': 0.662, 'grad_norm': 1.0320320129394531, 'learning_rate': 0.0009687037037037037, 'epoch': 0.09444444444444444}
Step 180: {'loss': 0.6726, 'grad_norm': 1.0230134725570679, 'learning_rate': 0.0009668518518518519, 'epoch': 0.1}
Step 190: {'loss': 0.6634, 'grad_norm': 0.9429985880851746, 'learning_rate': 0.000965, 'epoch': 0.10555555555555556}
Step 200: {'loss': 0.6712, 'grad_norm': 1.1831861734390259, 'learning_rate': 0.0009631481481481482, 'epoch': 0.1111111111111111}
Step 210: {'loss': 0.7112, 'grad_norm': 0.9971649646759033, 'learning_rate': 0.0009612962962962964, 'epoch': 0.11666666666666667}
Step 220: {'loss': 0.6732, 'grad_norm': 1.138715386390686, 'learning_rate': 0.0009594444444444444, 'epoch': 0.12222222222222222}
Step 230: {'loss': 0.6729, 'grad_norm': 0.7404812574386597, 'learning_rate': 0.0009575925925925926, 'epoch': 0.12777777777777777}
Step 240: {'loss': 0.6785, 'grad_norm': 0.8830514550209045, 'learning_rate': 0.0009557407407407408, 'epoch': 0.13333333333333333}
Step 250: {'loss': 0.6822, 'grad_norm': 0.9215706586837769, 'learning_rate': 0.0009538888888888889, 'epoch': 0.1388888888888889}
Step 260: {'loss': 0.7262, 'grad_norm': 1.0156248807907104, 'learning_rate': 0.000952037037037037, 'epoch': 0.14444444444444443}
Step 270: {'loss': 0.6685, 'grad_norm': 1.2357509136199951, 'learning_rate': 0.0009501851851851852, 'epoch': 0.15}
Step 280: {'loss': 0.6638, 'grad_norm': 0.8728676438331604, 'learning_rate': 0.0009483333333333334, 'epoch': 0.15555555555555556}
Step 290: {'loss': 0.6967, 'grad_norm': 1.1629161834716797, 'learning_rate': 0.0009464814814814815, 'epoch': 0.16111111111111112}
Step 300: {'loss': 0.66, 'grad_norm': 0.9275152683258057, 'learning_rate': 0.0009446296296296296, 'epoch': 0.16666666666666666}
Step 310: {'loss': 0.6585, 'grad_norm': 1.3778557777404785, 'learning_rate': 0.0009427777777777778, 'epoch': 0.17222222222222222}
Step 320: {'loss': 0.6525, 'grad_norm': 0.9163031578063965, 'learning_rate': 0.000940925925925926, 'epoch': 0.17777777777777778}
Step 330: {'loss': 0.6929, 'grad_norm': 0.9263889193534851, 'learning_rate': 0.000939074074074074, 'epoch': 0.18333333333333332}
Step 340: {'loss': 0.6703, 'grad_norm': 0.8061009049415588, 'learning_rate': 0.0009372222222222222, 'epoch': 0.18888888888888888}
Step 350: {'loss': 0.7176, 'grad_norm': 0.9197353720664978, 'learning_rate': 0.0009353703703703705, 'epoch': 0.19444444444444445}
Step 360: {'loss': 0.7087, 'grad_norm': 0.867313802242279, 'learning_rate': 0.0009335185185185185, 'epoch': 0.2}
Step 370: {'loss': 0.6728, 'grad_norm': 0.9477661848068237, 'learning_rate': 0.0009316666666666667, 'epoch': 0.20555555555555555}
Step 380: {'loss': 0.6563, 'grad_norm': 0.5710556507110596, 'learning_rate': 0.0009298148148148147, 'epoch': 0.2111111111111111}
Step 390: {'loss': 0.638, 'grad_norm': 0.7425103187561035, 'learning_rate': 0.000927962962962963, 'epoch': 0.21666666666666667}
Step 400: {'loss': 0.7063, 'grad_norm': 0.8302301168441772, 'learning_rate': 0.0009261111111111112, 'epoch': 0.2222222222222222}
Step 410: {'loss': 0.6735, 'grad_norm': 1.133362889289856, 'learning_rate': 0.0009242592592592592, 'epoch': 0.22777777777777777}
Step 420: {'loss': 0.6692, 'grad_norm': 0.7141993641853333, 'learning_rate': 0.0009224074074074075, 'epoch': 0.23333333333333334}
