Step 10: {'loss': 1.8246, 'learning_rate': 0.0009981481481481482, 'epoch': 0.01}
Step 20: {'loss': 1.5013, 'learning_rate': 0.0009962962962962963, 'epoch': 0.01}
Step 30: {'loss': 1.2324, 'learning_rate': 0.0009944444444444445, 'epoch': 0.02}
Step 40: {'loss': 1.0163, 'learning_rate': 0.0009925925925925927, 'epoch': 0.02}
Step 50: {'loss': 0.9813, 'learning_rate': 0.0009907407407407408, 'epoch': 0.03}
Step 60: {'loss': 0.9447, 'learning_rate': 0.000988888888888889, 'epoch': 0.03}
Step 70: {'loss': 0.8788, 'learning_rate': 0.0009870370370370371, 'epoch': 0.04}
Step 80: {'loss': 0.8297, 'learning_rate': 0.000985185185185185, 'epoch': 0.04}
Step 90: {'loss': 0.806, 'learning_rate': 0.0009833333333333332, 'epoch': 0.05}
Step 100: {'loss': 0.7806, 'learning_rate': 0.0009814814814814816, 'epoch': 0.06}
Step 110: {'loss': 0.7871, 'learning_rate': 0.0009796296296296296, 'epoch': 0.06}
Step 120: {'loss': 0.8199, 'learning_rate': 0.0009777777777777777, 'epoch': 0.07}
Step 130: {'loss': 0.8092, 'learning_rate': 0.000975925925925926, 'epoch': 0.07}
Step 140: {'loss': 0.6911, 'learning_rate': 0.0009740740740740741, 'epoch': 0.08}
Step 150: {'loss': 0.7839, 'learning_rate': 0.0009722222222222222, 'epoch': 0.08}
Step 160: {'loss': 0.7011, 'learning_rate': 0.0009703703703703704, 'epoch': 0.09}
Step 170: {'loss': 0.7814, 'learning_rate': 0.0009685185185185186, 'epoch': 0.09}
Step 180: {'loss': 0.7606, 'learning_rate': 0.0009666666666666667, 'epoch': 0.1}
Step 190: {'loss': 0.7184, 'learning_rate': 0.0009648148148148148, 'epoch': 0.11}
Step 200: {'loss': 0.7596, 'learning_rate': 0.0009629629629629629, 'epoch': 0.11}
Step 210: {'loss': 0.7204, 'learning_rate': 0.0009611111111111112, 'epoch': 0.12}
Step 220: {'loss': 0.7449, 'learning_rate': 0.0009592592592592593, 'epoch': 0.12}
Step 230: {'loss': 0.7248, 'learning_rate': 0.0009574074074074074, 'epoch': 0.13}
Step 240: {'loss': 0.6855, 'learning_rate': 0.0009555555555555556, 'epoch': 0.13}
Step 250: {'loss': 0.7488, 'learning_rate': 0.0009537037037037038, 'epoch': 0.14}
Step 260: {'loss': 0.7231, 'learning_rate': 0.0009518518518518518, 'epoch': 0.14}
Step 270: {'loss': 0.7278, 'learning_rate': 0.00095, 'epoch': 0.15}
Step 280: {'loss': 0.7584, 'learning_rate': 0.0009481481481481482, 'epoch': 0.16}
Step 290: {'loss': 0.6979, 'learning_rate': 0.0009462962962962963, 'epoch': 0.16}
Step 300: {'loss': 0.7922, 'learning_rate': 0.0009444444444444445, 'epoch': 0.17}
Step 310: {'loss': 0.709, 'learning_rate': 0.0009425925925925925, 'epoch': 0.17}
Step 320: {'loss': 0.7319, 'learning_rate': 0.0009407407407407408, 'epoch': 0.18}
Step 330: {'loss': 0.6763, 'learning_rate': 0.000938888888888889, 'epoch': 0.18}
Step 340: {'loss': 0.7482, 'learning_rate': 0.000937037037037037, 'epoch': 0.19}
Step 350: {'loss': 0.6994, 'learning_rate': 0.0009351851851851853, 'epoch': 0.19}
Step 360: {'loss': 0.6845, 'learning_rate': 0.0009333333333333333, 'epoch': 0.2}
Step 370: {'loss': 0.7139, 'learning_rate': 0.0009314814814814815, 'epoch': 0.21}
Step 380: {'loss': 0.7272, 'learning_rate': 0.0009296296296296296, 'epoch': 0.21}
Step 390: {'loss': 0.6952, 'learning_rate': 0.0009277777777777778, 'epoch': 0.22}
Step 400: {'loss': 0.7176, 'learning_rate': 0.000925925925925926, 'epoch': 0.22}
Step 410: {'loss': 0.7703, 'learning_rate': 0.0009240740740740741, 'epoch': 0.23}
Step 420: {'loss': 0.6715, 'learning_rate': 0.0009222222222222223, 'epoch': 0.23}
Step 430: {'loss': 0.7194, 'learning_rate': 0.0009203703703703704, 'epoch': 0.24}
Step 440: {'loss': 0.6864, 'learning_rate': 0.0009185185185185185, 'epoch': 0.24}
Step 450: {'loss': 0.6791, 'learning_rate': 0.0009166666666666666, 'epoch': 0.25}
Step 460: {'loss': 0.6313, 'learning_rate': 0.0009148148148148149, 'epoch': 0.26}
Step 470: {'loss': 0.7077, 'learning_rate': 0.000912962962962963, 'epoch': 0.26}
Step 480: {'loss': 0.6921, 'learning_rate': 0.0009111111111111111, 'epoch': 0.27}
Step 490: {'loss': 0.7115, 'learning_rate': 0.0009092592592592592, 'epoch': 0.27}
Step 500: {'loss': 0.7275, 'learning_rate': 0.0009074074074074074, 'epoch': 0.28}
Step 510: {'loss': 0.706, 'learning_rate': 0.0009055555555555556, 'epoch': 0.28}
Step 520: {'loss': 0.7012, 'learning_rate': 0.0009037037037037037, 'epoch': 0.29}
Step 530: {'loss': 0.6663, 'learning_rate': 0.0009018518518518519, 'epoch': 0.29}
