Step 10: {'loss': 1.4144, 'grad_norm': 1.2117514610290527, 'learning_rate': 0.000499375, 'epoch': 0.002777777777777778}
Step 20: {'loss': 0.9877, 'grad_norm': 2.6735596656799316, 'learning_rate': 0.0004986805555555556, 'epoch': 0.005555555555555556}
Step 30: {'loss': 0.7642, 'grad_norm': 5.272462368011475, 'learning_rate': 0.0004979861111111112, 'epoch': 0.008333333333333333}
Step 40: {'loss': 0.7412, 'grad_norm': 1.644792914390564, 'learning_rate': 0.0004972916666666667, 'epoch': 0.011111111111111112}
Step 50: {'loss': 0.609, 'grad_norm': 0.951207160949707, 'learning_rate': 0.0004965972222222223, 'epoch': 0.013888888888888888}
Step 60: {'loss': 0.5602, 'grad_norm': 0.8759020566940308, 'learning_rate': 0.0004959027777777778, 'epoch': 0.016666666666666666}
Step 70: {'loss': 0.5835, 'grad_norm': 1.4131115674972534, 'learning_rate': 0.0004952083333333333, 'epoch': 0.019444444444444445}
Step 80: {'loss': 0.4979, 'grad_norm': 1.9867441654205322, 'learning_rate': 0.0004945138888888888, 'epoch': 0.022222222222222223}
Step 90: {'loss': 0.5174, 'grad_norm': 1.2726683616638184, 'learning_rate': 0.0004938194444444444, 'epoch': 0.025}
Step 100: {'loss': 0.4754, 'grad_norm': 0.936336100101471, 'learning_rate': 0.000493125, 'epoch': 0.027777777777777776}
Step 110: {'loss': 0.5226, 'grad_norm': 1.4194415807724, 'learning_rate': 0.0004924305555555555, 'epoch': 0.030555555555555555}
Step 120: {'loss': 0.4154, 'grad_norm': 1.1655038595199585, 'learning_rate': 0.0004917361111111111, 'epoch': 0.03333333333333333}
Step 130: {'loss': 0.4666, 'grad_norm': 1.2874966859817505, 'learning_rate': 0.0004910416666666666, 'epoch': 0.03611111111111111}
Step 140: {'loss': 0.4828, 'grad_norm': 1.6870298385620117, 'learning_rate': 0.0004903472222222222, 'epoch': 0.03888888888888889}
Step 150: {'loss': 0.4581, 'grad_norm': 1.5914554595947266, 'learning_rate': 0.0004896527777777778, 'epoch': 0.041666666666666664}
Step 160: {'loss': 0.4762, 'grad_norm': 1.5433790683746338, 'learning_rate': 0.0004889583333333333, 'epoch': 0.044444444444444446}
Step 170: {'loss': 0.387, 'grad_norm': 1.2967110872268677, 'learning_rate': 0.0004882638888888889, 'epoch': 0.04722222222222222}
Step 180: {'loss': 0.4217, 'grad_norm': 2.0406529903411865, 'learning_rate': 0.00048756944444444444, 'epoch': 0.05}
Step 190: {'loss': 0.4568, 'grad_norm': 1.7789828777313232, 'learning_rate': 0.000486875, 'epoch': 0.05277777777777778}
Step 200: {'loss': 0.4656, 'grad_norm': 1.672402262687683, 'learning_rate': 0.00048618055555555556, 'epoch': 0.05555555555555555}
Step 210: {'loss': 0.4232, 'grad_norm': 1.83814537525177, 'learning_rate': 0.0004854861111111111, 'epoch': 0.058333333333333334}
Step 220: {'loss': 0.4137, 'grad_norm': 1.474382996559143, 'learning_rate': 0.0004847916666666667, 'epoch': 0.06111111111111111}
Step 230: {'loss': 0.4438, 'grad_norm': 1.645384669303894, 'learning_rate': 0.00048409722222222224, 'epoch': 0.06388888888888888}
Step 240: {'loss': 0.4093, 'grad_norm': 1.6820429563522339, 'learning_rate': 0.0004834027777777778, 'epoch': 0.06666666666666667}
Step 250: {'loss': 0.4589, 'grad_norm': 1.307945728302002, 'learning_rate': 0.00048270833333333336, 'epoch': 0.06944444444444445}
Step 260: {'loss': 0.4311, 'grad_norm': 1.1675184965133667, 'learning_rate': 0.0004820138888888889, 'epoch': 0.07222222222222222}
Step 270: {'loss': 0.4046, 'grad_norm': 1.2860664129257202, 'learning_rate': 0.0004813194444444445, 'epoch': 0.075}
Step 280: {'loss': 0.4306, 'grad_norm': 1.743473768234253, 'learning_rate': 0.00048062500000000004, 'epoch': 0.07777777777777778}
Step 290: {'loss': 0.4914, 'grad_norm': 2.1729726791381836, 'learning_rate': 0.0004799305555555556, 'epoch': 0.08055555555555556}
Step 300: {'loss': 0.3894, 'grad_norm': 1.1377986669540405, 'learning_rate': 0.0004792361111111111, 'epoch': 0.08333333333333333}
Step 310: {'loss': 0.4151, 'grad_norm': 0.5515738129615784, 'learning_rate': 0.00047854166666666667, 'epoch': 0.08611111111111111}
Step 320: {'loss': 0.3298, 'grad_norm': 1.5133329629898071, 'learning_rate': 0.0004778472222222222, 'epoch': 0.08888888888888889}
Step 330: {'loss': 0.4337, 'grad_norm': 1.5151002407073975, 'learning_rate': 0.0004771527777777778, 'epoch': 0.09166666666666666}
Step 340: {'loss': 0.3884, 'grad_norm': 1.7611463069915771, 'learning_rate': 0.00047645833333333335, 'epoch': 0.09444444444444444}
Step 350: {'loss': 0.3759, 'grad_norm': 1.6741143465042114, 'learning_rate': 0.0004757638888888889, 'epoch': 0.09722222222222222}
Step 360: {'loss': 0.4487, 'grad_norm': 1.0333696603775024, 'learning_rate': 0.00047506944444444446, 'epoch': 0.1}
Step 370: {'loss': 0.3964, 'grad_norm': 0.9143617749214172, 'learning_rate': 0.000474375, 'epoch': 0.10277777777777777}
Step 380: {'loss': 0.3652, 'grad_norm': 1.2979084253311157, 'learning_rate': 0.0004736805555555556, 'epoch': 0.10555555555555556}
Step 390: {'loss': 0.3571, 'grad_norm': 1.2160614728927612, 'learning_rate': 0.00047298611111111114, 'epoch': 0.10833333333333334}
Step 400: {'loss': 0.3796, 'grad_norm': 1.0828287601470947, 'learning_rate': 0.00047229166666666665, 'epoch': 0.1111111111111111}
Step 410: {'loss': 0.3838, 'grad_norm': 1.1290175914764404, 'learning_rate': 0.0004715972222222222, 'epoch': 0.11388888888888889}
Step 420: {'loss': 0.367, 'grad_norm': 1.0195176601409912, 'learning_rate': 0.00047090277777777777, 'epoch': 0.11666666666666667}
Step 430: {'loss': 0.4353, 'grad_norm': 0.7091899514198303, 'learning_rate': 0.00047020833333333333, 'epoch': 0.11944444444444445}
Step 440: {'loss': 0.4254, 'grad_norm': 0.9604369401931763, 'learning_rate': 0.0004695138888888889, 'epoch': 0.12222222222222222}
Step 450: {'loss': 0.417, 'grad_norm': 1.8075804710388184, 'learning_rate': 0.00046881944444444445, 'epoch': 0.125}
Step 460: {'loss': 0.3649, 'grad_norm': 0.8364666700363159, 'learning_rate': 0.000468125, 'epoch': 0.12777777777777777}
Step 470: {'loss': 0.395, 'grad_norm': 1.487540364265442, 'learning_rate': 0.00046743055555555557, 'epoch': 0.13055555555555556}
Step 480: {'loss': 0.4081, 'grad_norm': 1.1498932838439941, 'learning_rate': 0.00046673611111111113, 'epoch': 0.13333333333333333}
Step 490: {'loss': 0.3787, 'grad_norm': 2.00784969329834, 'learning_rate': 0.0004660416666666667, 'epoch': 0.1361111111111111}
Step 500: {'loss': 0.4064, 'grad_norm': 1.0999406576156616, 'learning_rate': 0.00046534722222222225, 'epoch': 0.1388888888888889}
Step 510: {'loss': 0.3938, 'grad_norm': 1.1617380380630493, 'learning_rate': 0.0004646527777777778, 'epoch': 0.14166666666666666}
Step 520: {'loss': 0.3774, 'grad_norm': 1.7142025232315063, 'learning_rate': 0.0004639583333333333, 'epoch': 0.14444444444444443}
Step 530: {'loss': 0.4146, 'grad_norm': 1.41725492477417, 'learning_rate': 0.00046326388888888887, 'epoch': 0.14722222222222223}
Step 540: {'loss': 0.3627, 'grad_norm': 1.1923317909240723, 'learning_rate': 0.00046256944444444443, 'epoch': 0.15}
Step 550: {'loss': 0.3527, 'grad_norm': 1.0615111589431763, 'learning_rate': 0.000461875, 'epoch': 0.1527777777777778}
Step 560: {'loss': 0.4208, 'grad_norm': 0.9688472151756287, 'learning_rate': 0.00046118055555555555, 'epoch': 0.15555555555555556}
Step 570: {'loss': 0.3572, 'grad_norm': 1.2051117420196533, 'learning_rate': 0.0004604861111111111, 'epoch': 0.15833333333333333}
Step 580: {'loss': 0.3885, 'grad_norm': 1.0704251527786255, 'learning_rate': 0.00045979166666666667, 'epoch': 0.16111111111111112}
Step 590: {'loss': 0.345, 'grad_norm': 0.9877228736877441, 'learning_rate': 0.00045909722222222223, 'epoch': 0.1638888888888889}
Step 600: {'loss': 0.4818, 'grad_norm': 1.3635077476501465, 'learning_rate': 0.0004584027777777778, 'epoch': 0.16666666666666666}
Step 610: {'loss': 0.3708, 'grad_norm': 1.1024998426437378, 'learning_rate': 0.00045770833333333335, 'epoch': 0.16944444444444445}
Step 620: {'loss': 0.4324, 'grad_norm': 0.926609218120575, 'learning_rate': 0.0004570138888888889, 'epoch': 0.17222222222222222}
Step 630: {'loss': 0.3742, 'grad_norm': 1.2536574602127075, 'learning_rate': 0.00045631944444444447, 'epoch': 0.175}
Step 640: {'loss': 0.3838, 'grad_norm': 1.2062889337539673, 'learning_rate': 0.00045562500000000003, 'epoch': 0.17777777777777778}
Step 650: {'loss': 0.4181, 'grad_norm': 1.0565458536148071, 'learning_rate': 0.0004549305555555556, 'epoch': 0.18055555555555555}
Step 660: {'loss': 0.3909, 'grad_norm': 1.3733909130096436, 'learning_rate': 0.00045423611111111115, 'epoch': 0.18333333333333332}
Step 670: {'loss': 0.3125, 'grad_norm': 0.9865121841430664, 'learning_rate': 0.0004535416666666667, 'epoch': 0.18611111111111112}
Step 680: {'loss': 0.441, 'grad_norm': 1.8127970695495605, 'learning_rate': 0.00045284722222222227, 'epoch': 0.18888888888888888}
Step 690: {'loss': 0.4078, 'grad_norm': 1.4230210781097412, 'learning_rate': 0.00045215277777777783, 'epoch': 0.19166666666666668}
Step 700: {'loss': 0.3533, 'grad_norm': 0.8664080500602722, 'learning_rate': 0.00045145833333333333, 'epoch': 0.19444444444444445}
Step 710: {'loss': 0.382, 'grad_norm': 0.9445675611495972, 'learning_rate': 0.0004507638888888889, 'epoch': 0.19722222222222222}
Step 720: {'loss': 0.3946, 'grad_norm': 1.0373033285140991, 'learning_rate': 0.00045006944444444445, 'epoch': 0.2}
Step 730: {'loss': 0.3809, 'grad_norm': 0.7982164025306702, 'learning_rate': 0.000449375, 'epoch': 0.20277777777777778}
Step 740: {'loss': 0.3473, 'grad_norm': 0.8561151623725891, 'learning_rate': 0.0004486805555555556, 'epoch': 0.20555555555555555}
Step 750: {'loss': 0.4063, 'grad_norm': 1.2812269926071167, 'learning_rate': 0.0004479861111111111, 'epoch': 0.20833333333333334}
Step 760: {'loss': 0.3906, 'grad_norm': 1.3691105842590332, 'learning_rate': 0.00044729166666666664, 'epoch': 0.2111111111111111}
Step 770: {'loss': 0.4026, 'grad_norm': 1.0791330337524414, 'learning_rate': 0.0004465972222222222, 'epoch': 0.21388888888888888}
Step 780: {'loss': 0.3824, 'grad_norm': 1.0223212242126465, 'learning_rate': 0.00044590277777777776, 'epoch': 0.21666666666666667}
Step 790: {'loss': 0.4044, 'grad_norm': 1.3347527980804443, 'learning_rate': 0.0004452083333333333, 'epoch': 0.21944444444444444}
Step 800: {'loss': 0.344, 'grad_norm': 0.9883424639701843, 'learning_rate': 0.0004445138888888889, 'epoch': 0.2222222222222222}
Step 810: {'loss': 0.3733, 'grad_norm': 1.3518117666244507, 'learning_rate': 0.00044381944444444444, 'epoch': 0.225}
Step 820: {'loss': 0.346, 'grad_norm': 2.3118834495544434, 'learning_rate': 0.000443125, 'epoch': 0.22777777777777777}
Step 830: {'loss': 0.3788, 'grad_norm': 0.9864935278892517, 'learning_rate': 0.00044243055555555556, 'epoch': 0.23055555555555557}
Step 840: {'loss': 0.3896, 'grad_norm': 1.0245393514633179, 'learning_rate': 0.0004417361111111111, 'epoch': 0.23333333333333334}
Step 850: {'loss': 0.3855, 'grad_norm': 1.3029835224151611, 'learning_rate': 0.0004410416666666667, 'epoch': 0.2361111111111111}
Step 860: {'loss': 0.4043, 'grad_norm': 0.8417986631393433, 'learning_rate': 0.00044034722222222224, 'epoch': 0.2388888888888889}
Step 870: {'loss': 0.3628, 'grad_norm': 1.0007206201553345, 'learning_rate': 0.0004396527777777778, 'epoch': 0.24166666666666667}
Step 880: {'loss': 0.4284, 'grad_norm': 0.9429223537445068, 'learning_rate': 0.00043895833333333336, 'epoch': 0.24444444444444444}
Step 890: {'loss': 0.3824, 'grad_norm': 1.0964457988739014, 'learning_rate': 0.0004382638888888889, 'epoch': 0.24722222222222223}
Step 900: {'loss': 0.3886, 'grad_norm': 0.7342764735221863, 'learning_rate': 0.0004375694444444445, 'epoch': 0.25}
Step 910: {'loss': 0.3431, 'grad_norm': 1.1895424127578735, 'learning_rate': 0.00043687500000000003, 'epoch': 0.25277777777777777}
Step 920: {'loss': 0.3773, 'grad_norm': 0.6557338237762451, 'learning_rate': 0.0004361805555555556, 'epoch': 0.25555555555555554}
Step 930: {'loss': 0.3481, 'grad_norm': 1.1027802228927612, 'learning_rate': 0.00043548611111111115, 'epoch': 0.25833333333333336}
Step 940: {'loss': 0.3329, 'grad_norm': 0.9691938161849976, 'learning_rate': 0.0004347916666666667, 'epoch': 0.2611111111111111}
Step 950: {'loss': 0.3529, 'grad_norm': 0.8076277375221252, 'learning_rate': 0.0004340972222222223, 'epoch': 0.2638888888888889}
Step 960: {'loss': 0.3831, 'grad_norm': 1.2350468635559082, 'learning_rate': 0.00043340277777777783, 'epoch': 0.26666666666666666}
Step 970: {'loss': 0.3684, 'grad_norm': 1.2398302555084229, 'learning_rate': 0.00043270833333333334, 'epoch': 0.26944444444444443}
Step 980: {'loss': 0.4394, 'grad_norm': 1.136033296585083, 'learning_rate': 0.0004320138888888889, 'epoch': 0.2722222222222222}
Step 990: {'loss': 0.4026, 'grad_norm': 1.1330368518829346, 'learning_rate': 0.0004313194444444444, 'epoch': 0.275}
Step 1000: {'loss': 0.3998, 'grad_norm': 1.2213304042816162, 'learning_rate': 0.00043062499999999996, 'epoch': 0.2777777777777778}
Step 1010: {'loss': 0.3579, 'grad_norm': 0.8120335340499878, 'learning_rate': 0.0004299305555555555, 'epoch': 0.28055555555555556}
Step 1020: {'loss': 0.3659, 'grad_norm': 1.1880967617034912, 'learning_rate': 0.0004292361111111111, 'epoch': 0.2833333333333333}
Step 1030: {'loss': 0.3698, 'grad_norm': 0.8826575875282288, 'learning_rate': 0.00042854166666666664, 'epoch': 0.2861111111111111}
Step 1040: {'loss': 0.3923, 'grad_norm': 0.9452767968177795, 'learning_rate': 0.0004278472222222222, 'epoch': 0.28888888888888886}
