Step 1: {'loss': 1.9269, 'learning_rate': 2.3809523809523808e-06, 'epoch': 0.0}
Step 2: {'loss': 1.8845, 'learning_rate': 4.7619047619047615e-06, 'epoch': 0.01}
Step 3: {'loss': 1.7426, 'learning_rate': 7.142857142857143e-06, 'epoch': 0.01}
Step 4: {'loss': 1.8432, 'learning_rate': 9.523809523809523e-06, 'epoch': 0.01}
Step 5: {'loss': 1.8978, 'learning_rate': 1.1904761904761905e-05, 'epoch': 0.02}
Step 6: {'loss': 1.8124, 'learning_rate': 1.4285714285714285e-05, 'epoch': 0.02}
Step 7: {'loss': 1.7754, 'learning_rate': 1.6666666666666667e-05, 'epoch': 0.03}
Step 8: {'loss': 1.9504, 'learning_rate': 1.9047619047619046e-05, 'epoch': 0.03}
Step 9: {'loss': 1.7948, 'learning_rate': 2.1428571428571428e-05, 'epoch': 0.03}
Step 10: {'loss': 1.7188, 'learning_rate': 2.380952380952381e-05, 'epoch': 0.04}
Step 11: {'loss': 1.6496, 'learning_rate': 2.6190476190476192e-05, 'epoch': 0.04}
Step 12: {'loss': 1.7628, 'learning_rate': 2.857142857142857e-05, 'epoch': 0.04}
Step 13: {'loss': 1.8999, 'learning_rate': 3.095238095238095e-05, 'epoch': 0.05}
Step 14: {'loss': 1.6578, 'learning_rate': 3.3333333333333335e-05, 'epoch': 0.05}
Step 15: {'loss': 1.7673, 'learning_rate': 3.571428571428572e-05, 'epoch': 0.05}
Step 16: {'loss': 1.6446, 'learning_rate': 3.809523809523809e-05, 'epoch': 0.06}
Step 17: {'loss': 1.4915, 'learning_rate': 4.047619047619048e-05, 'epoch': 0.06}
Step 18: {'loss': 1.5841, 'learning_rate': 4.2857142857142856e-05, 'epoch': 0.06}
Step 19: {'loss': 1.5253, 'learning_rate': 4.523809523809524e-05, 'epoch': 0.07}
Step 20: {'loss': 1.4436, 'learning_rate': 4.761904761904762e-05, 'epoch': 0.07}
Step 21: {'loss': 1.499, 'learning_rate': 5e-05, 'epoch': 0.08}
Step 22: {'loss': 1.4151, 'learning_rate': 5.2380952380952384e-05, 'epoch': 0.08}
Step 23: {'loss': 1.4157, 'learning_rate': 5.4761904761904766e-05, 'epoch': 0.08}
Step 24: {'loss': 1.4109, 'learning_rate': 5.714285714285714e-05, 'epoch': 0.09}
Step 25: {'loss': 1.4293, 'learning_rate': 5.9523809523809524e-05, 'epoch': 0.09}
Step 26: {'loss': 1.46, 'learning_rate': 6.19047619047619e-05, 'epoch': 0.09}
Step 27: {'loss': 1.4206, 'learning_rate': 6.428571428571429e-05, 'epoch': 0.1}
Step 28: {'loss': 1.2116, 'learning_rate': 6.666666666666667e-05, 'epoch': 0.1}
Step 29: {'loss': 1.4321, 'learning_rate': 6.904761904761905e-05, 'epoch': 0.1}
Step 30: {'loss': 1.3182, 'learning_rate': 7.142857142857143e-05, 'epoch': 0.11}
Step 31: {'loss': 1.4011, 'learning_rate': 7.380952380952382e-05, 'epoch': 0.11}
Step 32: {'loss': 1.3421, 'learning_rate': 7.619047619047618e-05, 'epoch': 0.11}
Step 33: {'loss': 1.2624, 'learning_rate': 7.857142857142858e-05, 'epoch': 0.12}
Step 34: {'loss': 1.3295, 'learning_rate': 8.095238095238096e-05, 'epoch': 0.12}
Step 35: {'loss': 1.1962, 'learning_rate': 8.333333333333334e-05, 'epoch': 0.13}
Step 36: {'loss': 1.1535, 'learning_rate': 8.571428571428571e-05, 'epoch': 0.13}
Step 37: {'loss': 1.1928, 'learning_rate': 8.80952380952381e-05, 'epoch': 0.13}
Step 38: {'loss': 1.2164, 'learning_rate': 9.047619047619048e-05, 'epoch': 0.14}
Step 39: {'loss': 1.1464, 'learning_rate': 9.285714285714286e-05, 'epoch': 0.14}
Step 40: {'loss': 1.1069, 'learning_rate': 9.523809523809524e-05, 'epoch': 0.14}
Step 41: {'loss': 1.1722, 'learning_rate': 9.761904761904762e-05, 'epoch': 0.15}
Step 42: {'loss': 1.0611, 'learning_rate': 0.0001, 'epoch': 0.15}
Step 43: {'loss': 0.9642, 'learning_rate': 0.00010238095238095237, 'epoch': 0.15}
Step 44: {'loss': 0.9902, 'learning_rate': 0.00010476190476190477, 'epoch': 0.16}
Step 45: {'loss': 0.9878, 'learning_rate': 0.00010714285714285715, 'epoch': 0.16}
Step 46: {'loss': 0.9461, 'learning_rate': 0.00010952380952380953, 'epoch': 0.16}
Step 47: {'loss': 0.9639, 'learning_rate': 0.00011190476190476191, 'epoch': 0.17}
Step 48: {'loss': 0.9297, 'learning_rate': 0.00011428571428571428, 'epoch': 0.17}
Step 49: {'loss': 0.9385, 'learning_rate': 0.00011666666666666668, 'epoch': 0.18}
Step 50: {'loss': 0.9186, 'learning_rate': 0.00011904761904761905, 'epoch': 0.18}
Step 51: {'loss': 0.8685, 'learning_rate': 0.00012142857142857143, 'epoch': 0.18}
Step 52: {'loss': 0.8424, 'learning_rate': 0.0001238095238095238, 'epoch': 0.19}
Step 53: {'loss': 0.8473, 'learning_rate': 0.0001261904761904762, 'epoch': 0.19}
Step 54: {'loss': 0.8727, 'learning_rate': 0.00012857142857142858, 'epoch': 0.19}
Step 55: {'loss': 0.8396, 'learning_rate': 0.00013095238095238096, 'epoch': 0.2}
Step 56: {'loss': 0.8019, 'learning_rate': 0.00013333333333333334, 'epoch': 0.2}
Step 57: {'loss': 0.7993, 'learning_rate': 0.00013571428571428572, 'epoch': 0.2}
Step 58: {'loss': 0.814, 'learning_rate': 0.0001380952380952381, 'epoch': 0.21}
Step 59: {'loss': 0.8017, 'learning_rate': 0.00014047619047619049, 'epoch': 0.21}
Step 60: {'loss': 0.8322, 'learning_rate': 0.00014285714285714287, 'epoch': 0.21}
Step 61: {'loss': 0.8206, 'learning_rate': 0.00014523809523809525, 'epoch': 0.22}
Step 62: {'loss': 0.7892, 'learning_rate': 0.00014761904761904763, 'epoch': 0.22}
Step 63: {'loss': 0.8027, 'learning_rate': 0.00015000000000000001, 'epoch': 0.23}
Step 64: {'loss': 0.771, 'learning_rate': 0.00015238095238095237, 'epoch': 0.23}
Step 65: {'loss': 0.8147, 'learning_rate': 0.00015476190476190478, 'epoch': 0.23}
Step 66: {'loss': 0.7954, 'learning_rate': 0.00015714285714285716, 'epoch': 0.24}
Step 67: {'loss': 0.7616, 'learning_rate': 0.00015952380952380954, 'epoch': 0.24}
Step 68: {'loss': 0.7291, 'learning_rate': 0.00016190476190476192, 'epoch': 0.24}
Step 69: {'loss': 0.7311, 'learning_rate': 0.00016428571428571428, 'epoch': 0.25}
Step 70: {'loss': 0.766, 'learning_rate': 0.0001666666666666667, 'epoch': 0.25}
Step 71: {'loss': 0.7711, 'learning_rate': 0.00016904761904761904, 'epoch': 0.25}
Step 72: {'loss': 0.7699, 'learning_rate': 0.00017142857142857143, 'epoch': 0.26}
Step 73: {'loss': 0.689, 'learning_rate': 0.00017380952380952383, 'epoch': 0.26}
Step 74: {'loss': 0.7525, 'learning_rate': 0.0001761904761904762, 'epoch': 0.26}
Step 75: {'loss': 0.7239, 'learning_rate': 0.0001785714285714286, 'epoch': 0.27}
Step 76: {'loss': 0.6952, 'learning_rate': 0.00018095238095238095, 'epoch': 0.27}
