Step 1: {'loss': 1.7278, 'learning_rate': 2.3809523809523808e-06, 'epoch': 0.0}
Step 2: {'loss': 1.7246, 'learning_rate': 4.7619047619047615e-06, 'epoch': 0.01}
Step 3: {'loss': 1.6422, 'learning_rate': 7.142857142857143e-06, 'epoch': 0.01}
Step 4: {'loss': 1.7968, 'learning_rate': 9.523809523809523e-06, 'epoch': 0.01}
Step 5: {'loss': 1.6011, 'learning_rate': 1.1904761904761905e-05, 'epoch': 0.02}
Step 6: {'loss': 1.6807, 'learning_rate': 1.4285714285714285e-05, 'epoch': 0.02}
Step 7: {'loss': 1.6351, 'learning_rate': 1.6666666666666667e-05, 'epoch': 0.03}
Step 8: {'loss': 1.657, 'learning_rate': 1.9047619047619046e-05, 'epoch': 0.03}
Step 9: {'loss': 1.625, 'learning_rate': 2.1428571428571428e-05, 'epoch': 0.03}
Step 10: {'loss': 1.8368, 'learning_rate': 2.380952380952381e-05, 'epoch': 0.04}
Step 11: {'loss': 1.6635, 'learning_rate': 2.6190476190476192e-05, 'epoch': 0.04}
Step 12: {'loss': 1.6438, 'learning_rate': 2.857142857142857e-05, 'epoch': 0.04}
Step 13: {'loss': 1.6613, 'learning_rate': 3.095238095238095e-05, 'epoch': 0.05}
Step 14: {'loss': 1.6157, 'learning_rate': 3.3333333333333335e-05, 'epoch': 0.05}
Step 15: {'loss': 1.7134, 'learning_rate': 3.571428571428572e-05, 'epoch': 0.05}
Step 16: {'loss': 1.7576, 'learning_rate': 3.809523809523809e-05, 'epoch': 0.06}
Step 17: {'loss': 1.7461, 'learning_rate': 4.047619047619048e-05, 'epoch': 0.06}
Step 18: {'loss': 1.7507, 'learning_rate': 4.2857142857142856e-05, 'epoch': 0.06}
Step 19: {'loss': 1.6057, 'learning_rate': 4.523809523809524e-05, 'epoch': 0.07}
Step 20: {'loss': 1.5354, 'learning_rate': 4.761904761904762e-05, 'epoch': 0.07}
Step 21: {'loss': 1.5323, 'learning_rate': 5e-05, 'epoch': 0.08}
Step 22: {'loss': 1.5348, 'learning_rate': 5.2380952380952384e-05, 'epoch': 0.08}
Step 23: {'loss': 1.5902, 'learning_rate': 5.4761904761904766e-05, 'epoch': 0.08}
Step 24: {'loss': 1.7106, 'learning_rate': 5.714285714285714e-05, 'epoch': 0.09}
Step 25: {'loss': 1.4624, 'learning_rate': 5.9523809523809524e-05, 'epoch': 0.09}
Step 26: {'loss': 1.6394, 'learning_rate': 6.19047619047619e-05, 'epoch': 0.09}
Step 27: {'loss': 1.4354, 'learning_rate': 6.428571428571429e-05, 'epoch': 0.1}
Step 28: {'loss': 1.4738, 'learning_rate': 6.666666666666667e-05, 'epoch': 0.1}
Step 29: {'loss': 1.4524, 'learning_rate': 6.904761904761905e-05, 'epoch': 0.1}
Step 30: {'loss': 1.4501, 'learning_rate': 7.142857142857143e-05, 'epoch': 0.11}
Step 31: {'loss': 1.4682, 'learning_rate': 7.380952380952382e-05, 'epoch': 0.11}
Step 32: {'loss': 1.4962, 'learning_rate': 7.619047619047618e-05, 'epoch': 0.11}
Step 33: {'loss': 1.4883, 'learning_rate': 7.857142857142858e-05, 'epoch': 0.12}
Step 34: {'loss': 1.6152, 'learning_rate': 8.095238095238096e-05, 'epoch': 0.12}
Step 35: {'loss': 1.4976, 'learning_rate': 8.333333333333334e-05, 'epoch': 0.13}
Step 36: {'loss': 1.4734, 'learning_rate': 8.571428571428571e-05, 'epoch': 0.13}
Step 37: {'loss': 1.6423, 'learning_rate': 8.80952380952381e-05, 'epoch': 0.13}
Step 38: {'loss': 1.3407, 'learning_rate': 9.047619047619048e-05, 'epoch': 0.14}
Step 39: {'loss': 1.4445, 'learning_rate': 9.285714285714286e-05, 'epoch': 0.14}
Step 40: {'loss': 1.4448, 'learning_rate': 9.523809523809524e-05, 'epoch': 0.14}
Step 41: {'loss': 1.4617, 'learning_rate': 9.761904761904762e-05, 'epoch': 0.15}
Step 42: {'loss': 1.4642, 'learning_rate': 0.0001, 'epoch': 0.15}
Step 43: {'loss': 1.4822, 'learning_rate': 0.00010238095238095237, 'epoch': 0.15}
Step 44: {'loss': 1.4233, 'learning_rate': 0.00010476190476190477, 'epoch': 0.16}
Step 45: {'loss': 1.2669, 'learning_rate': 0.00010714285714285715, 'epoch': 0.16}
Step 46: {'loss': 1.3994, 'learning_rate': 0.00010952380952380953, 'epoch': 0.16}
Step 47: {'loss': 1.214, 'learning_rate': 0.00011190476190476191, 'epoch': 0.17}
Step 48: {'loss': 1.3176, 'learning_rate': 0.00011428571428571428, 'epoch': 0.17}
